x,y,z
0.64,0.12,0.73
0.62,0.12,0.73
0.60,0.19,0.71
0.63,-0.03,0.71
0.62,-0.00,0.78
0.61,0.04,0.70
0.68,0.00,0.72
0.81,0.06,0.71
0.68,0.12,0.75
0.67,0.08,0.78
0.71,0.12,0.73
0.66,0.11,0.70
0.78,0.32,0.72
0.63,-0.02,0.49
0.82,-0.13,0.46
0.64,-0.07,0.66
0.63,-0.17,0.55
0.65,0.10,0.55
0.72,0.24,0.75
0.67,-0.05,0.67
0.71,-0.17,0.45
0.64,-0.05,0.76
0.58,-0.11,0.81
0.61,0.00,0.77
0.65,0.06,0.79
0.66,0.06,0.66
0.68,0.05,0.70
0.68,-0.03,0.71
0.68,-0.02,0.61
0.67,0.01,0.69
0.65,0.01,0.75
0.69,-0.03,0.76
0.62,-0.12,0.81
0.67,0.10,0.69
0.70,0.09,0.71
0.73,0.10,0.71
0.81,0.20,0.76
1.02,0.24,0.73
1.11,0.45,0.75
1.06,0.25,0.90
1.03,0.19,1.05
1.09,0.05,0.92
1.04,-0.14,1.10
0.95,-0.40,1.23
0.78,-0.43,1.08
0.58,-0.47,0.94
0.38,-0.92,0.89
0.15,-1.32,0.89
-0.18,-1.37,0.54
-0.36,-1.33,0.16
-0.49,-1.09,0.05
-0.62,-1.14,0.11
-0.82,-1.02,0.15
-1.11,-0.71,-0.00
-1.22,-0.08,-0.26
-1.12,0.96,-0.21
-0.60,1.35,0.41
-0.22,1.82,0.76
0.09,2.08,1.10
0.31,1.61,1.50
0.35,1.46,1.75
0.27,1.34,1.72
0.40,1.04,1.93
0.26,0.50,1.93
0.05,0.31,1.87
0.10,0.06,1.91
0.23,-0.22,1.71
-0.07,-0.40,1.73
-0.45,-1.05,1.59
-0.52,-1.23,1.28
-0.44,-1.29,1.41
-0.44,-1.35,1.52
-0.58,-1.33,1.55
-0.66,-1.18,1.29
-0.75,-1.27,1.11
-0.80,-1.23,0.95
-0.70,-0.94,0.88
-0.64,-0.83,0.72
-0.57,-0.81,0.58
-0.47,-0.60,0.32
-0.39,-0.19,-0.02
-0.21,-0.06,-0.09
-0.10,-0.07,-0.15
-0.07,-0.19,-0.19
-0.07,-0.16,-0.29
0.03,0.17,-0.51
0.14,0.42,-0.69
0.03,0.41,-0.83
-0.06,0.19,-0.88
-0.04,0.21,-1.05
-0.25,0.71,-1.16
-0.69,0.19,-0.24
-0.54,0.20,0.53
-0.65,0.81,1.68
-0.71,0.62,2.88
-0.47,-0.32,3.82
-0.37,-0.81,2.94
-0.39,-0.36,1.54
-0.27,-0.47,1.35
0.02,-0.37,1.44
0.19,0.14,1.56
0.09,0.07,1.53
-0.23,-0.28,0.93
-0.29,-0.37,0.71
-0.25,-0.32,0.84
-0.18,-0.16,1.01
-0.17,-0.10,0.91
-0.20,-0.26,0.94
-0.18,-0.24,0.92
-0.18,-0.24,0.94
-0.17,-0.22,0.95
-0.18,-0.19,0.85
-0.19,-0.16,0.86
-0.16,-0.22,1.00
-0.16,-0.26,1.01
-0.13,-0.23,0.98
-0.09,-0.16,0.91
-0.07,-0.15,1.06
-0.04,-0.11,0.99
-0.05,-0.17,1.05
-0.08,-0.22,0.93
-0.03,-0.06,0.79
0.00,-0.07,0.83
0.02,-0.13,1.05
0.08,-0.10,0.99
0.07,-0.06,0.91
0.09,-0.10,0.94
0.13,-0.02,1.00
0.16,0.00,0.98
0.11,-0.13,0.97
0.16,-0.12,0.95
0.20,-0.03,0.88
0.25,-0.02,1.04
0.25,-0.27,0.77
0.23,-0.23,0.92
0.21,-0.28,0.88
0.19,-0.35,1.08
0.26,-0.29,0.85
0.23,-0.37,0.79
0.30,-0.12,0.82
0.27,-0.21,0.87
0.26,-0.32,0.93
0.30,-0.14,0.91
0.32,0.03,0.92
0.30,0.03,0.91
0.25,-0.21,0.93
0.22,-0.21,0.91
0.24,-0.16,0.92
0.26,-0.13,0.90
0.26,-0.20,0.93
x,y,z
0.26,-0.03,0.95
0.26,-0.02,0.95
0.28,0.07,0.98
0.32,0.16,1.02
0.37,0.25,1.08
0.50,0.12,1.13
0.72,0.30,1.22
0.69,0.00,1.28
0.61,-0.21,1.33
0.52,-0.48,1.32
0.51,-0.67,1.41
0.42,-0.63,1.57
0.24,-0.81,1.61
0.05,-0.95,1.27
-0.17,-1.04,0.98
-0.45,-1.10,0.69
-0.58,-1.13,0.44
-0.67,-0.94,0.12
-0.75,-0.63,-0.24
-0.74,-0.35,-0.30
-0.66,-0.19,-0.19
-0.66,-0.04,-0.30
-0.59,0.31,-0.35
-0.41,0.90,-0.18
-0.21,1.14,0.11
-0.07,1.30,0.47
-0.05,1.33,0.81
0.04,1.54,1.31
0.05,1.15,1.55
0.06,0.99,2.04
0.08,1.21,2.25
0.20,0.97,2.45
0.02,0.06,2.36
-0.11,0.20,2.31
-0.09,0.05,1.99
-0.06,-0.07,1.86
-0.23,-0.24,1.72
-0.50,-0.89,1.46
-0.64,-1.03,1.47
-0.67,-0.85,1.54
-0.76,-0.92,1.60
-0.79,-1.00,1.51
-0.72,-0.82,1.35
-0.76,-0.81,1.13
-0.69,-0.81,0.97
-0.44,-0.62,0.73
-0.28,-0.52,0.54
-0.18,-0.23,0.22
-0.09,-0.25,-0.08
0.06,-0.34,-0.13
0.10,-0.23,-0.11
0.15,0.01,-0.16
0.18,-0.00,-0.28
0.28,0.22,-0.38
0.30,0.43,-0.68
0.31,0.32,-0.94
0.40,0.07,-0.81
0.54,0.52,-0.87
0.42,0.67,-0.88
-0.00,0.17,-0.42
-0.14,-0.15,0.21
-0.20,0.39,0.69
-0.33,0.15,1.37
-0.23,0.31,2.14
-0.01,0.48,2.46
0.08,0.18,2.83
-0.10,-0.33,2.41
-0.26,-0.39,1.52
-0.04,-0.07,1.32
0.02,0.02,1.54
-0.01,0.02,1.48
-0.07,0.01,1.03
-0.03,0.06,0.87
0.01,0.04,0.99
-0.00,0.13,0.92
-0.02,0.15,0.90
0.05,0.22,1.06
0.08,0.13,1.38
-0.04,0.03,0.81
-0.01,0.08,0.93
0.00,0.16,0.92
-0.04,0.02,0.94
-0.00,0.06,1.10
0.01,0.07,0.91
0.05,0.15,0.99
0.02,0.12,0.94
0.02,0.10,0.94
0.03,0.10,0.97
0.03,0.12,0.97
0.01,0.09,0.99
0.00,0.08,1.00
0.01,0.11,0.96
0.02,0.10,0.96
0.02,0.12,0.94
0.03,0.09,0.98
0.01,0.12,1.02
0.02,0.14,1.04
0.07,0.16,1.11
0.08,0.06,1.17
0.15,0.09,1.16
0.19,0.19,1.16
0.21,0.19,1.16
0.20,0.12,1.13
0.19,0.10,1.13
0.21,0.10,1.15
0.21,0.10,1.03
0.18,0.05,0.96
0.20,0.06,0.94
0.20,0.05,0.93
0.20,0.03,0.92
0.19,0.00,0.90
0.20,-0.01,0.85
0.21,-0.05,0.83
0.29,0.13,0.82
0.31,0.19,0.75
0.26,-0.02,0.79
0.25,-0.06,0.78
0.30,0.06,0.74
0.32,0.12,0.71
0.30,0.03,0.77
0.29,-0.04,0.78
0.29,-0.05,0.81
0.28,-0.05,0.85
0.28,-0.06,0.81
0.29,-0.06,0.79
0.31,-0.05,0.80
0.33,-0.05,0.86
0.32,-0.07,0.88
0.33,-0.08,0.89
0.33,-0.07,0.91
0.35,0.01,0.89
0.37,-0.01,0.91
0.35,-0.04,0.90
0.36,-0.02,0.89
0.36,-0.01,0.88
0.37,-0.01,0.88
0.35,-0.02,0.90
0.35,-0.06,0.90
0.34,-0.07,0.89
0.37,-0.02,0.90
0.38,-0.00,0.91
0.37,-0.01,0.91
0.36,-0.05,0.91
0.35,-0.05,0.90
0.37,-0.01,0.89
0.38,-0.00,0.89
0.38,-0.00,0.89
0.37,-0.03,0.90
